,jichang,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
46,ZBAA,39,17,1,18,0.04,0.13999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
47,ZBAA,39,17,1,19,0.08,0.1,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
48,ZBAA,39,17,1,23,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
49,ZBAA,40,18,1,9,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
50,ZBAA,40,18,1,10,0.1,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
51,ZBAA,40,18,1,12,0.08,0.8800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
52,ZBAA,40,18,1,13,0.18,0.8,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
53,ZBAA,40,18,1,14,0.08,0.6200000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
54,ZBAA,40,18,1,15,0.16,0.54,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
55,ZBAA,40,18,1,16,0.1,0.38000000000000006,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
56,ZBAA,40,18,1,17,0.02,0.27999999999999997,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
57,ZBAA,40,18,1,18,0.12,0.25999999999999995,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
58,ZBAA,40,18,1,19,0.02,0.14,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
59,ZBAA,40,18,1,20,0.02,0.12000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
60,ZBAA,40,18,1,21,0.06,0.1,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
61,ZBAA,40,18,1,23,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
62,ZBAA,40,18,1,24,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
63,ZBAA,41,15,1,7,0.04,0.9999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
64,ZBAA,41,15,1,8,0.06,0.9600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
65,ZBAA,41,15,1,9,0.04,0.9,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
66,ZBAA,41,15,1,10,0.1,0.86,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
67,ZBAA,41,15,1,11,0.14,0.76,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
68,ZBAA,41,15,1,12,0.1,0.6200000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
69,ZBAA,41,15,1,13,0.2,0.52,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
70,ZBAA,41,15,1,14,0.08,0.32,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
71,ZBAA,41,15,1,15,0.1,0.24000000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
72,ZBAA,41,15,1,16,0.1,0.14,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
73,ZBAA,41,15,1,17,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
74,ZBAA,42,16,1,7,0.02,1.0000000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
75,ZBAA,42,16,1,8,0.04,0.9800000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
76,ZBAA,42,16,1,9,0.08,0.9400000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
77,ZBAA,42,16,1,10,0.16,0.8600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
78,ZBAA,42,16,1,11,0.12,0.7000000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
79,ZBAA,42,16,1,12,0.14,0.5800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
80,ZBAA,42,16,1,13,0.02,0.44,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
81,ZBAA,42,16,1,14,0.14,0.42000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
82,ZBAA,42,16,1,15,0.02,0.28,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
83,ZBAA,42,16,1,16,0.16,0.26,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
84,ZBAA,42,16,1,17,0.06,0.1,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
85,ZBAA,42,16,1,20,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
86,ZBAA,42,16,1,21,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
87,ZBAA,43,15,1,6,0.02,0.9999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
88,ZBAA,43,15,1,7,0.04,0.9799999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
89,ZBAA,43,15,1,8,0.1,0.94,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
90,ZBAA,43,15,1,9,0.18,0.84,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
91,ZBAA,43,15,1,10,0.08,0.66,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
92,ZBAA,43,15,1,11,0.12,0.5800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
93,ZBAA,43,15,1,12,0.08,0.46,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
94,ZBAA,43,15,1,13,0.08,0.38,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
95,ZBAA,43,15,1,14,0.08,0.3,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
96,ZBAA,43,15,1,15,0.08,0.22,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
97,ZBAA,43,15,1,16,0.08,0.14,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
98,ZBAA,43,15,1,17,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
99,ZBAA,43,15,1,19,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
100,ZBAA,44,14,1,7,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
101,ZBAA,44,14,1,8,0.02,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
102,ZBAA,44,14,1,9,0.1,0.96,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
103,ZBAA,44,14,1,10,0.22,0.8600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
104,ZBAA,44,14,1,11,0.12,0.6400000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
105,ZBAA,44,14,1,12,0.16,0.52,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
106,ZBAA,44,14,1,13,0.12,0.36000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
107,ZBAA,44,14,1,14,0.1,0.24,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
108,ZBAA,44,14,1,15,0.06,0.14,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
109,ZBAA,44,14,1,16,0.02,0.08,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
110,ZBAA,44,14,1,17,0.06,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
111,ZBAA,45,14,1,7,0.06,1.0000000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
112,ZBAA,45,14,1,8,0.06,0.9400000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
113,ZBAA,45,14,1,9,0.08,0.8800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
114,ZBAA,45,14,1,10,0.08,0.8,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
115,ZBAA,45,14,1,11,0.16,0.7200000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
116,ZBAA,45,14,1,12,0.14,0.56,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
117,ZBAA,45,14,1,13,0.24,0.42,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
118,ZBAA,45,14,1,14,0.06,0.18,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
119,ZBAA,45,14,1,15,0.06,0.12,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
120,ZBAA,45,14,1,16,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
121,ZBAA,45,14,1,17,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
122,ZBAA,46,15,1,6,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
123,ZBAA,46,15,1,8,0.08,0.9800000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
124,ZBAA,46,15,1,9,0.08,0.9000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
125,ZBAA,46,15,1,10,0.14,0.8200000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
126,ZBAA,46,15,1,11,0.06,0.6800000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
127,ZBAA,46,15,1,12,0.28,0.6200000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
128,ZBAA,46,15,1,13,0.1,0.34,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
129,ZBAA,46,15,1,14,0.04,0.24,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
130,ZBAA,46,15,1,15,0.12,0.19999999999999998,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
131,ZBAA,46,15,1,16,0.04,0.08,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
132,ZBAA,46,15,1,17,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
133,ZBAA,46,15,1,20,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
134,ZBAA,47,15,1,5,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
135,ZBAA,47,15,1,8,0.02,0.9800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
136,ZBAA,47,15,1,9,0.1,0.9600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
137,ZBAA,47,15,1,10,0.14,0.8600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
138,ZBAA,47,15,1,11,0.14,0.7200000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
139,ZBAA,47,15,1,12,0.18,0.58,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
140,ZBAA,47,15,1,13,0.18,0.39999999999999997,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
141,ZBAA,47,15,1,14,0.04,0.22,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
142,ZBAA,47,15,1,15,0.04,0.18000000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
143,ZBAA,47,15,1,16,0.1,0.14,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
144,ZBAA,47,15,1,17,0.04,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
145,ZBAA,48,17,1,7,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
146,ZBAA,48,17,1,8,0.02,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
147,ZBAA,48,17,1,9,0.06,0.9600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
148,ZBAA,48,17,1,10,0.04,0.9,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
149,ZBAA,48,17,1,11,0.04,0.8600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
150,ZBAA,48,17,1,12,0.1,0.8200000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
151,ZBAA,48,17,1,13,0.06,0.7200000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
152,ZBAA,48,17,1,14,0.18,0.6600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
153,ZBAA,48,17,1,15,0.18,0.48000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
154,ZBAA,48,17,1,16,0.08,0.30000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
155,ZBAA,48,17,1,17,0.08,0.21999999999999997,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
156,ZBAA,48,17,1,18,0.04,0.14,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
157,ZBAA,48,17,1,19,0.02,0.1,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
158,ZBAA,48,17,1,20,0.04,0.08,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
159,ZBAA,48,17,1,21,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
160,ZBAA,48,17,1,22,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
161,ZBAA,49,16,1,9,0.08,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
162,ZBAA,49,16,1,10,0.14,0.9200000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
163,ZBAA,49,16,1,11,0.1,0.78,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
164,ZBAA,49,16,1,12,0.2,0.6800000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
165,ZBAA,49,16,1,13,0.14,0.48000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
166,ZBAA,49,16,1,14,0.08,0.34,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
167,ZBAA,49,16,1,15,0.08,0.26,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
168,ZBAA,49,16,1,16,0.06,0.18,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
169,ZBAA,49,16,1,17,0.06,0.12000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
170,ZBAA,49,16,1,18,0.04,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
171,ZBAA,49,16,1,20,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
172,ZBAA,50,16,1,8,0.06,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
173,ZBAA,50,16,1,9,0.04,0.94,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
174,ZBAA,50,16,1,10,0.12,0.8999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
175,ZBAA,50,16,1,11,0.12,0.78,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
176,ZBAA,50,16,1,12,0.08,0.6600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
177,ZBAA,50,16,1,13,0.22,0.5800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
178,ZBAA,50,16,1,14,0.1,0.36000000000000004,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
179,ZBAA,50,16,1,15,0.08,0.26,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
180,ZBAA,50,16,1,16,0.08,0.18,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
181,ZBAA,50,16,1,17,0.06,0.1,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
182,ZBAA,50,16,1,20,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
183,ZBAA,50,16,1,21,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
184,ZBAA,51,16,1,6,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
185,ZBAA,51,16,1,7,0.04,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
186,ZBAA,51,16,1,8,0.08,0.9400000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
187,ZBAA,51,16,1,9,0.02,0.86,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
188,ZBAA,51,16,1,10,0.1,0.8400000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
189,ZBAA,51,16,1,11,0.06,0.74,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
190,ZBAA,51,16,1,12,0.16,0.68,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
191,ZBAA,51,16,1,13,0.12,0.5199999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
192,ZBAA,51,16,1,14,0.14,0.4,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
193,ZBAA,51,16,1,15,0.1,0.26,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
194,ZBAA,51,16,1,16,0.1,0.16,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
195,ZBAA,51,16,1,17,0.04,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
196,ZBAA,51,16,1,18,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
197,ZBAA,52,18,1,8,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
198,ZBAA,52,18,1,9,0.08,0.98,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
199,ZBAA,52,18,1,10,0.02,0.8999999999999999,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
200,ZBAA,52,18,1,11,0.12,0.88,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
201,ZBAA,52,18,1,12,0.06,0.76,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
202,ZBAA,52,18,1,13,0.12,0.7000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
203,ZBAA,52,18,1,14,0.12,0.5800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
204,ZBAA,52,18,1,15,0.12,0.46,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
205,ZBAA,52,18,1,16,0.08,0.34,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
206,ZBAA,52,18,1,17,0.1,0.26,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
207,ZBAA,52,18,1,18,0.1,0.16,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
208,ZBAA,52,18,1,19,0.04,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
209,ZBAA,52,18,1,20,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
